episode,reward,moves,checks,mates
779,-4.43,150,1,0
780,-1.84,51,0,0
781,-3.56,118,0,0
782,-1.19,49,0,0
783,-2.53,82,0,0
784,-4.12,150,0,0
785,-0.91,41,0,0
786,-0.63,41,0,0
787,-2.56,54,0,0
788,-0.88,48,4,0
789,-2.78,62,0,0
790,-1.06,42,0,0
791,-1.12,83,1,0
792,-1.17,33,0,0
793,-1.89,36,0,0
794,-2.02,37,0,0
795,-4.62,150,1,0
796,-2.52,61,0,0
797,-1.63,58,0,0
798,-3.0,150,0,0
799,-0.71,44,0,0
800,-3.22,108,0,0
801,-2.64,72,0,0
802,-1.29,73,0,0
803,-1.44,102,0,0
804,-2.87,126,0,0
805,-2.16,112,0,0
806,-0.06,27,1,0
807,-1.14,17,1,0
808,-1.14,10,0,0
809,-1.17,45,0,0
810,-1.12,46,0,0
811,-1.28,35,0,0
812,-2.21,76,0,0
813,-3.19,132,0,0
814,-1.11,55,2,0
815,-2.62,117,2,0
816,-0.78,50,1,0
817,-3.45,126,1,0
818,-1.0,44,0,0
819,-3.91,138,0,0
820,-1.88,28,0,0
821,-5.32,150,1,0
822,-2.36,77,2,0
823,-3.45,132,0,0
824,-1.04,55,0,0
825,-1.09,31,0,0
826,-2.6,66,1,0
827,-2.77,110,0,0
828,-1.11,55,0,0
829,-2.96,116,0,0
830,-1.26,21,0,0
831,-1.27,19,0,0
832,-1.1,52,1,0
833,-5.41,150,0,0
834,-1.58,44,1,0
835,-4.73,148,0,0
836,-1.1,26,2,0
837,-3.2,149,1,0
838,-0.45,39,1,0
839,-3.99,150,0,0
840,-1.39,27,1,0
841,-5.46,108,0,0
842,-4.16,111,0,0
843,-4.96,102,0,0
844,-0.92,34,0,0
845,-4.76,150,5,0
846,-1.99,55,0,0
847,-3.12,150,0,0
848,-1.24,60,0,0
849,-1.34,19,0,0
850,-0.98,34,0,0
851,-0.97,43,0,0
852,-4.22,133,0,0
853,-5.01,150,1,0
854,-0.84,46,1,0
855,-3.3,119,0,0
856,-2.32,65,2,0
857,-3.29,105,0,0
858,-0.88,42,0,0
859,-5.1,124,0,0
860,-1.71,77,0,0
